   0.000 1767781469.954223091  rpp:cam:cam0,t:469954
   0.000 1767781371.690145091  rpp:cam:cam0,t:371690
   0.000 1767781482.287124091  rpp:cam:cam0,t:482287
   0.000 1767781402.720976091  rpp:cam:cam0,t:402720
   0.000 1767781438.459568091  rpp:cam:cam0,t:438459
   0.000 1767781425.397381091  rpp:cam:cam0,t:425397
   0.000 1767781479.038021091  rpp:cam:cam0,t:479038
   0.000 1767781478.043611091  rpp:cam:cam0,t:478043
   0.000 1767781382.431773091  rpp:cam:cam0,t:382431
   0.000 1767781480.496822091  rpp:cam:cam0,t:480496
   0.000 1767781364.131385091  rpp:cam:cam0,t:364131
   0.000 1767781458.881489091  rpp:cam:cam0,t:458881
   0.000 1767781469.689211091  rpp:cam:cam0,t:469689
   0.000 1767781473.335962091  rpp:cam:cam0,t:473335
   0.000 1767781436.072485091  rpp:cam:cam0,t:436072
   0.000 1767781334.691945091  rpp:cam:cam0,t:334691
   0.000 1767781346.295359091  rpp:cam:cam0,t:346295
   0.000 1767781459.544509091  rpp:cam:cam0,t:459544
   0.000 1767781383.426183091  rpp:cam:cam0,t:383426
   0.000 1767781347.488784091  rpp:cam:cam0,t:347488
   0.000 1767781401.195925091  rpp:cam:cam0,t:401195
   0.000 1767781466.838002091  rpp:cam:cam0,t:466838
   0.000 1767781481.027334091  rpp:cam:cam0,t:481027
   0.000 1767781368.374915091  rpp:cam:cam0,t:368374
   0.000 1767781384.023081091  rpp:cam:cam0,t:384023
   0.000 1767781342.383348091  rpp:cam:cam0,t:342383
   0.000 1767781352.395465091  rpp:cam:cam0,t:352395
   0.000 1767781440.448628091  rpp:cam:cam0,t:440448
   0.000 1767781418.369143091  rpp:cam:cam0,t:418369
   0.000 1767781436.669134091  rpp:cam:cam0,t:436669
   0.000 1767781457.953211091  rpp:cam:cam0,t:457953
   0.000 1767781439.719354091  rpp:cam:cam0,t:439719
   0.000 1767781480.430563091  rpp:cam:cam0,t:480430
   0.000 1767781463.323759091  rpp:cam:cam0,t:463323
   0.000 1767781322.757007091  rpp:cam:cam0,t:322757
   0.000 1767781375.071890091  rpp:cam:cam0,t:375071
   0.000 1767781436.337620091  rpp:cam:cam0,t:436337
   0.000 1767781453.245557091  rpp:cam:cam0,t:453245
   0.000 1767781400.930919091  rpp:cam:cam0,t:400930
