timestamp,robot2_j1_desired_pos,robot2_j1_desired_vel,robot2_j1_actual_pos,robot2_j1_actual_vel,robot2_j1_error_pos,robot2_j1_error_vel,robot2_j2_desired_pos,robot2_j2_desired_vel,robot2_j2_actual_pos,robot2_j2_actual_vel,robot2_j2_error_pos,robot2_j2_error_vel,robot2_j3_desired_pos,robot2_j3_desired_vel,robot2_j3_actual_pos,robot2_j3_actual_vel,robot2_j3_error_pos,robot2_j3_error_vel,robot2_j4_desired_pos,robot2_j4_desired_vel,robot2_j4_actual_pos,robot2_j4_actual_vel,robot2_j4_error_pos,robot2_j4_error_vel,robot2_j5_desired_pos,robot2_j5_desired_vel,robot2_j5_actual_pos,robot2_j5_actual_vel,robot2_j5_error_pos,robot2_j5_error_vel,robot2_j6_desired_pos,robot2_j6_desired_vel,robot2_j6_actual_pos,robot2_j6_actual_vel,robot2_j6_error_pos,robot2_j6_error_vel,
1.36753,-5.79327e-05,2.37384e-05,-5.78639e-05,0.000138901,-6.88443e-08,-0.000115163,-1.54717,0.0311531,-1.5472,-0.00379653,3.49496e-05,0.0349496,-0.269457,-0.302445,-0.269155,-3.54784e-05,-0.00030241,-0.30241,-1.29508,0.314054,-1.2954,1.84987e-05,0.000314035,0.314035,0.28515,0.32,0.28483,0.000183917,0.000319816,0.319816,8.65655e-06,-1.77243e-05,8.81172e-06,0.000139197,-1.55172e-07,-0.000156921,
1.41101,-5.74579e-05,2.37384e-05,-5.73877e-05,0.000140676,-7.01976e-08,-0.000116937,-1.54654,0.0311531,-1.54658,-0.00387442,3.50275e-05,0.0350275,-0.275506,-0.302445,-0.275204,-3.61694e-05,-0.000302409,-0.302409,-1.2888,0.314054,-1.28912,2.07057e-05,0.000314033,0.314033,0.29155,0.32,0.29123,0.000186989,0.000319813,0.319813,8.30206e-06,-1.77243e-05,8.45704e-06,0.000139023,-1.54983e-07,-0.000156747,
1.45446,-5.69832e-05,2.37384e-05,-5.69118e-05,0.000142395,-7.13507e-08,-0.000118657,-1.54592,0.0311531,-1.54595,-0.00395203,3.51051e-05,0.0351051,-0.281555,-0.302445,-0.281253,-3.68575e-05,-0.000302408,-0.302408,-1.28252,0.314054,-1.28283,2.29019e-05,0.000314031,0.314031,0.29795,0.32,0.29763,0.000190072,0.00031981,0.31981,7.94757e-06,-1.77243e-05,8.10245e-06,0.000138863,-1.54872e-07,-0.000156587,
1.49788,-5.65084e-05,2.37384e-05,-5.6436e-05,0.000144059,-7.24108e-08,-0.000120321,-1.5453,0.0311531,-1.54533,-0.00402942,3.51825e-05,0.0351825,-0.287604,-0.302445,-0.287302,-3.75435e-05,-0.000302408,-0.302408,-1.27624,0.314054,-1.27655,2.50897e-05,0.000314029,0.314029,0.30435,0.32,0.30403,0.000193168,0.000319807,0.319807,7.59309e-06,-1.77243e-05,7.7479e-06,0.000138715,-1.54814e-07,-0.00015644,
1.54134,-5.60336e-05,2.37384e-05,-5.59603e-05,0.000145665,-7.33906e-08,-0.000121927,-1.54467,0.0311531,-1.54471,-0.0041066,3.52597e-05,0.0352597,-0.293653,-0.302445,-0.29335,-3.82275e-05,-0.000302407,-0.302407,-1.26996,0.314054,-1.27027,2.72701e-05,0.000314026,0.314026,0.31075,0.32,0.31043,0.000196276,0.000319804,0.319804,7.2386e-06,-1.77243e-05,7.39341e-06,0.000138578,-1.54809e-07,-0.000156303,
1.58471,-5.55589e-05,2.37384e-05,-5.54846e-05,0.000147212,-7.42963e-08,-0.000123473,-1.54405,0.0311531,-1.54409,-0.00418358,3.53367e-05,0.0353367,-0.299702,-0.302445,-0.299399,-3.89095e-05,-0.000302406,-0.302406,-1.26368,0.314054,-1.26399,2.94434e-05,0.000314024,0.314024,0.31715,0.32,0.31683,0.000199397,0.000319801,0.319801,6.88412e-06,-1.77243e-05,7.03899e-06,0.000138452,-1.54869e-07,-0.000156177,
1.62796,-5.50841e-05,2.37384e-05,-5.5009e-05,0.000148698,-7.51286e-08,-0.000124959,-1.54343,0.0311531,-1.54346,-0.00426036,3.54135e-05,0.0354135,-0.305751,-0.302445,-0.305448,-3.95896e-05,-0.000302406,-0.302406,-1.2574,0.314054,-1.25771,3.16095e-05,0.000314022,0.314022,0.32355,0.32,0.32323,0.000202531,0.000319797,0.319797,6.52963e-06,-1.77243e-05,6.68465e-06,0.000138337,-1.55015e-07,-0.000156061,
1.67072,-5.46093e-05,2.37384e-05,-5.45335e-05,0.000150123,-7.58874e-08,-0.000126384,-1.5428,0.0311531,-1.54284,-0.00433694,3.549e-05,0.03549,-0.3118,-0.302445,-0.311497,-4.02677e-05,-0.000302405,-0.302405,-1.25111,0.314054,-1.25143,3.37684e-05,0.00031402,0.31402,0.32995,0.32,0.32963,0.000205677,0.000319794,0.319794,6.17515e-06,-1.77243e-05,6.33042e-06,0.000138231,-1.55277e-07,-0.000155955,
1.71411,-5.41346e-05,2.37384e-05,-5.4058e-05,0.000151486,-7.65721e-08,-0.000127748,-1.54218,0.0311531,-1.54222,-0.00441329,3.55664e-05,0.0355664,-0.317848,-0.302445,-0.317546,-4.09438e-05,-0.000302404,-0.302404,-1.24483,0.314054,-1.24515,3.59199e-05,0.000314018,0.314018,0.33635,0.32,0.33603,0.000208837,0.000319791,0.319791,5.82066e-06,-1.77243e-05,5.97636e-06,0.000138136,-1.55702e-07,-0.00015586,
1.75756,-5.36598e-05,2.37384e-05,-5.35826e-05,0.000152788,-7.71824e-08,-0.000129049,-1.54156,0.0311531,-1.54159,-0.00448944,3.56425e-05,0.0356425,-0.323897,-0.302445,-0.323595,-4.16179e-05,-0.000302404,-0.302404,-1.23855,0.314054,-1.23887,3.80638e-05,0.000314016,0.314016,0.34275,0.32,0.34243,0.000212008,0.000319788,0.319788,5.46617e-06,-1.77243e-05,5.62254e-06,0.000138051,-1.56365e-07,-0.000155775,
1.8004,-5.3185e-05,2.37384e-05,-5.31073e-05,0.000154027,-7.77179e-08,-0.000130289,-1.54093,0.0311531,-1.54097,-0.00456536,3.57185e-05,0.0357185,-0.329946,-0.302445,-0.329644,-4.22901e-05,-0.000302403,-0.302403,-1.23227,0.314054,-1.23259,4.01998e-05,0.000314013,0.314013,0.34915,0.32,0.34883,0.00021519,0.000319785,0.319785,5.11169e-06,-1.77243e-05,5.26909e-06,0.000137976,-1.57397e-07,-0.0001557,
1.8438,-5.27103e-05,2.37384e-05,-5.26321e-05,0.000155204,-7.81793e-08,-0.000131466,-1.54031,0.0311531,-1.54035,-0.00464105,3.57942e-05,0.0357942,-0.335995,-0.302445,-0.335693,-4.29603e-05,-0.000302402,-0.302402,-1.22599,0.314054,-1.2263,4.23276e-05,0.000314011,0.314011,0.35555,0.32,0.35523,0.000218383,0.000319782,0.319782,4.7572e-06,-1.77243e-05,4.91624e-06,0.000137911,-1.59042e-07,-0.000155635,
